,product_id,quantity
39079,17794,2497
39078,43961,2460
39077,27086,2424
39076,49683,2413
39075,34126,2400
39074,10749,2393
39073,39877,2337
39072,37067,2332
39071,9076,2323
39070,5077,2298
39069,12341,2276
39068,8277,2252
39067,34969,2234
39066,19660,2225
39065,35951,2176
39064,24838,2169
39063,25890,2088
39062,31506,2068
39061,46667,2007
39060,22035,1993
39059,8174,1980
39058,35221,1966
39057,29487,1953
39055,34358,1920
39056,28842,1920
39054,20114,1899
39053,11520,1898
39052,22825,1893
39051,39928,1880
39050,15290,1864
39049,33198,1803
39048,27344,1788
39047,18465,1767
39046,27521,1761
39045,16759,1742
39044,33731,1694
39043,9839,1653
39042,38739,1633
39041,27156,1576
39040,23909,1540
39039,5785,1535
39038,46906,1527
39037,196,1507
39036,11777,1493
39035,28199,1478
39034,33000,1476
39033,44142,1468
39032,47144,1465
39031,40604,1449
39030,5025,1445
39029,42736,1435
39028,21709,1423
39027,8193,1418
39026,9387,1379
39025,37687,1362
39024,20995,1361
39023,34243,1351
39022,6184,1351
39021,7781,1342
39020,4210,1335
39019,4799,1324
39018,3957,1298
39017,31553,1284
39016,432,1277
39015,16185,1262
39014,28849,1250
39013,43295,1248
39012,43789,1222
39011,26369,1221
39010,19348,1220
39009,41844,1218
39008,260,1215
39007,24489,1213
39006,41787,1207
39005,38689,1206
39004,42585,1186
39003,8021,1183
39002,19678,1174
39001,2295,1166
39000,14992,1160
38999,41220,1154
38998,24830,1152
38997,44683,1149
38996,11182,1147
38995,42768,1141
38994,30233,1137
38993,5479,1132
38992,14947,1125
38991,22963,1123
38990,42828,1078
38989,46802,1077
38988,21288,1077
38987,17948,1065
38986,10246,1062
38985,25146,1054
38984,32655,1052
38983,42701,1047
38982,20842,1046
38981,25659,1045
38980,21405,1041
38979,31343,1036
38978,43772,1024
38977,23734,1022
38976,46676,993
38974,16953,991
38975,13870,991
38973,32689,988
38972,43122,980
38971,33754,973
38970,39408,959
38969,38293,958
38968,39475,951
38967,8859,950
38966,29987,944
38964,43768,943
38965,6046,943
38963,18362,938
38962,1940,931
38961,42342,928
38960,36695,926
38959,48364,916
38958,32864,914
38957,26620,899
38956,40310,897
38954,48205,878
38955,44987,878
38953,46654,874
38952,5818,873
38951,18531,866
38950,1463,858
38949,30776,855
38948,5212,854
38947,38383,850
38945,35939,850
38946,30450,850
38944,26165,847
38943,38456,845
38942,890,837
38941,47672,835
38940,33120,834
38939,28289,830
38938,41149,823
38937,2086,821
38936,31683,819
38935,36011,811
38934,18523,810
38933,35108,808
38932,3952,804
38931,47630,796
38930,23288,793
38928,41290,791
38929,21019,791
38927,47734,785
38926,15937,778
38925,44910,777
38924,4562,773
38922,39619,772
38923,13629,772
38921,35921,769
38920,23165,764
38919,32478,763
38918,43713,760
38917,24799,757
38916,36070,754
38915,23375,754
38913,21376,753
38914,14678,753
38912,44422,747
38911,1158,746
38910,7948,743
38909,13984,742
38908,21267,738
38907,2078,736
38906,35042,734
38905,17600,733
38903,40723,730
38904,26940,730
38902,2966,729
38901,28993,728
38900,13535,723
38899,19048,715
38898,20119,714
38897,42450,712
38896,25931,710
38895,39993,708
38894,31040,707
38893,7021,707
38892,46969,706
38891,28465,705
38890,16349,704
38889,12206,699
38888,18027,698
38887,10132,696
38886,33129,694
38885,30827,693
38884,38159,692
38883,40332,690
38882,25466,689
38881,28934,687
38879,43154,686
38878,40174,686
38880,15872,686
38877,34448,684
38876,5258,673
38875,17122,670
38874,10673,669
38873,40545,667
38872,39812,665
38871,41665,664
38870,48745,663
38869,28156,660
38868,42625,658
38867,30720,657
38866,40396,654
38865,7628,653
38864,49520,651
38863,26790,651
38862,40571,648
38861,5782,647
38860,4957,647
38859,17461,646
38858,10957,645
38856,45603,644
38857,43086,644
38855,33787,644
38854,13198,642
38853,49383,641
38852,32734,640
38851,30169,638
38850,35561,637
38848,37766,635
38849,16965,635
38847,12916,634
38846,38400,633
38845,8571,632
38844,39984,631
38843,47977,630
38841,17872,628
38842,8670,628
38839,7751,625
38840,45,625
38838,40516,624
38837,42356,622
38836,13646,622
38835,21195,620
38833,35547,619
38834,16083,619
38832,4472,618
38831,44570,616
38830,26497,615
38829,40199,614
38826,32177,610
38827,18441,610
38828,8048,610
38825,19508,609
38824,27336,607
38823,5646,603
38822,6187,600
38821,19691,599
38820,17795,598
38819,40709,597
38818,38557,593
38817,18370,592
38816,3376,592
38815,38768,591
38812,48775,590
38813,38777,590
38814,20955,590
38811,6873,587
38810,651,586
38809,44449,584
38808,34050,581
38807,10644,579
38806,5618,578
38805,36865,576
38804,1511,575
38803,49075,572
38802,29447,572
38801,37158,570
38800,33401,568
38799,7175,567
38798,47141,565
38797,19677,564
38796,6348,564
38795,36550,562
38791,32303,554
38793,27695,554
38794,14233,554
38792,6104,554
38790,15902,552
38788,45123,546
38789,3599,546
38787,14084,544
38786,27323,543
38785,10017,543
38784,33768,542
38783,22395,542
38782,21573,540
38781,14218,540
38780,24561,538
38779,45535,536
38778,21292,536
38777,37710,533
38776,42244,531
38775,46720,527
38774,13733,525
38773,25824,524
38772,15424,524
38771,20082,523
38769,13829,521
38770,12456,521
38767,39947,518
38768,25138,518
38766,10385,518
38765,39190,516
38764,21333,516
38763,5456,516
38762,13249,515
38761,5134,513
38760,38273,511
38759,18288,511
38758,4086,510
38756,19019,508
38757,5769,508
38755,17758,507
38754,40198,506
38753,49191,503
38752,14197,503
38751,31915,501
38750,23537,499
38749,13517,498
38748,32433,497
38747,25513,497
38746,27548,496
38744,35898,495
38743,23029,495
38745,15613,495
38741,34262,494
38742,26283,494
38739,35163,493
38740,16696,493
38738,7963,492
38736,47759,489
38737,26348,489
38734,27796,488
38735,22959,488
38733,1244,487
38732,11422,486
38731,11408,485
38730,9339,484
38729,39180,483
38728,31964,483
38727,329,480
38726,35140,476
38722,21174,475
38724,18234,475
38725,13740,475
38723,5194,475
38721,20345,473
38720,13380,473
38719,7969,472
38718,29553,471
38717,30696,470
38716,17316,468
38715,44765,465
38714,12576,465
38712,18811,462
38713,11068,462
38711,38164,461
38710,24024,461
38709,37220,460
38708,36316,460
38707,46584,459
38706,29307,459
38704,27730,459
38705,7559,459
38703,46820,458
38702,11712,458
38701,36735,457
38700,2452,453
38699,42719,452
38697,44560,451
38698,43504,451
38695,37524,450
38696,21872,450
38694,1999,450
38693,35004,448
38692,7503,448
38691,5161,446
38690,31215,445
38686,49131,444
38689,45200,444
38688,19173,444
38687,12845,444
38683,35628,443
38684,34466,443
38685,32691,443
38682,20738,443
38681,37065,442
38679,27325,441
38680,22124,441
38678,18918,441
38677,4656,438
38675,43662,437
38676,39561,437
38674,45104,436
38673,26800,433
38672,18963,433
38671,17008,433
38670,5612,432
38669,47788,430
38668,46522,430
38666,28745,429
38667,4367,429
38663,42445,428
38662,6631,428
38665,3464,428
38661,2855,428
38664,1194,428
38660,9020,426
38658,37029,423
38659,9092,423
38657,30406,421
38656,10326,421
38655,9825,421
38652,20734,420
38653,13263,420
38654,12872,420
38651,29127,419
38650,12276,418
38649,17706,417
38647,11759,416
38648,2825,416
38646,30353,415
38645,14715,414
38644,38928,413
38642,18479,412
38643,14161,412
38641,18656,411
38638,42110,409
38640,14462,409
38639,10070,409
38637,46616,408
38634,31066,407
38636,14897,407
38635,4461,407
38633,2450,405
38631,33352,401
38632,25588,401
38630,48628,400
38629,44628,400
38628,32465,399
38626,35887,398
38627,7644,398
38623,48395,397
38624,44799,397
38625,22474,397
38621,44008,395
38622,28427,395
38620,44234,394
38618,34217,394
38619,17616,394
38617,28476,393
38616,29662,392
38615,41588,391
38614,15261,391
38613,32429,390
38612,29675,390
38611,16521,389
38610,39108,388
38608,41065,387
38609,23405,387
38606,28535,386
38607,3990,386
38604,49175,385
38603,21295,385
38602,11140,385
38605,4724,385
38600,31433,384
38599,24954,384
38601,14168,384
38598,3896,383
38597,13166,382
38595,12409,382
38596,1529,382
38593,22849,381
38594,16616,381
38590,41658,380
38591,40063,380
38592,29926,380
38588,32650,379
38589,10305,379
38587,7485,379
38585,45646,378
38586,34584,378
38584,24841,377
38582,19488,376
38583,11512,376
38580,47042,373
38581,5068,373
38579,46886,372
38577,17949,372
38578,15200,372
38576,1090,372
38575,39558,371
38572,26317,370
38574,21386,370
38573,1700,370
38568,38890,369
38571,8138,369
38570,3298,369
38569,2361,369
38566,48697,368
38565,42240,368
38562,38772,368
38563,36086,368
38564,31766,368
38561,20940,368
38567,12614,368
38558,39922,367
38559,9124,367
38560,1408,367
38557,48559,366
38555,44661,365
38556,28553,365
38554,11005,365
38552,43129,364
38551,23236,364
38553,17878,364
38550,44479,363
38548,24810,363
38549,18594,363
38547,39581,362
38544,24382,362
38546,23341,362
38545,8309,362
38543,2091,362
38541,35914,361
38542,5322,361
38540,4942,361
38539,39276,360
38538,32747,360
38536,41400,359
38535,24009,359
38537,13966,359
38533,35503,358
38534,5373,358
38532,21543,357
38531,28601,356
38530,12606,354
38529,2228,354
38528,47156,353
38527,43565,350
38526,46041,349
38525,18926,349
38524,43631,348
38523,46149,347
38519,45948,347
38522,27360,347
38520,14999,347
38521,2314,347
38518,23622,346
38517,23543,346
38515,40377,345
38516,36724,345
38514,12980,345
38511,42460,344
38513,31562,344
38512,22802,344
38508,19006,343
38509,18987,343
38510,13431,343
38507,48527,342
38506,40939,342
38505,38944,341
38503,40910,340
38504,19003,340
38502,45063,339
38501,4149,338
38497,33055,337
38499,20754,337
38500,11461,337
38498,11440,337
38496,49533,336
38495,48171,336
38494,35535,336
38493,5449,336
38492,9515,335
38491,14633,334
38490,48523,333
38489,36956,333
38486,36772,332
38487,35383,332
38485,32403,332
38484,28373,332
38488,7736,332
38483,49610,330
38482,40593,330
38481,17652,330
38480,9755,330
38479,33043,329
38478,31869,329
38476,27243,329
38477,16254,329
38475,26384,328
38474,14129,328
38472,38200,327
38471,7500,327
38473,1215,327
38469,47877,326
38470,41273,326
38468,20574,326
38462,47357,325
38463,30639,325
38466,18382,325
38467,11576,325
38465,5460,325
38464,4138,325
38461,25753,324
38458,13852,324
38459,8955,324
38460,8239,324
38457,47912,323
38456,27307,323
38455,26128,322
38454,31759,321
38451,31651,321
38452,25544,321
38453,19068,321
38450,13083,321
38449,15392,320
38448,6948,320
38447,45747,319
38444,45064,316
38443,18019,316
38445,14852,316
38446,7131,316
38440,37011,315
38441,30305,315
38439,27744,315
38442,17341,315
38438,3142,314
38437,42557,313
38436,36082,313
38435,47792,312
38434,31981,312
38432,8479,311
38433,6489,311
38431,6128,311
38428,43875,310
38430,40348,310
38429,24759,310
38425,33846,309
38427,33548,309
38426,2326,309
38422,29370,308
38424,23645,308
38423,14901,308
38421,13575,308
38419,5652,308
38420,581,308
38418,32455,307
38416,36929,306
38417,12099,306
38414,41259,305
38413,18880,305
38415,9741,305
38412,2180,305
38411,41544,304
38410,17224,303
38406,46572,302
38409,45504,302
38405,41319,302
38408,39040,302
38407,21417,302
38404,3583,302
38402,17835,301
38403,4137,301
38401,24221,300
38400,35336,299
38399,14778,299
38398,5240,299
38393,44514,298
38396,17429,298
38397,16262,298
38395,10621,298
38394,10032,298
38392,38693,297
38390,38650,296
38391,37119,296
38389,10504,296
38385,19816,295
38388,16823,295
38386,2120,295
38387,365,295
38382,46175,294
38383,45763,294
38384,10912,294
38381,34234,293
38378,45681,292
38377,22888,292
38380,13819,292
38379,9808,292
38375,37141,291
38376,28928,291
38373,25340,291
38374,23516,291
38372,18599,290
38369,32566,289
38370,5337,289
38371,3849,289
38367,48104,288
38368,33572,288
38365,24235,288
38366,14858,288
38363,34530,287
38364,14147,287
38362,9366,287
38361,42495,286
38360,25705,286
38359,44375,285
38357,43867,285
38355,36389,285
38356,26914,285
38358,5550,285
38353,42803,284
38354,26131,284
38351,46842,283
38347,26882,283
38349,21463,283
38350,17862,283
38352,8087,283
38348,4006,283
38343,48857,282
38344,44156,282
38346,22025,282
38345,20919,282
38342,16589,282
38341,8230,282
38340,13292,281
38339,311,281
38336,46692,280
38337,40002,280
38338,16145,280
38335,31805,279
38332,26172,279
38334,16283,279
38333,5959,279
38331,17902,278
38329,24622,277
38328,15359,277
38330,13838,277
38327,2962,277
38326,40268,276
38324,28785,276
38325,1468,276
38321,33452,275
38322,23579,275
38323,20378,275
38320,5031,275
38319,22312,274
38314,46061,273
38317,28278,273
38315,28123,273
38316,14870,273
38318,13712,273
38311,34862,272
38313,30442,272
38312,25718,272
38310,20580,272
38307,46049,271
38309,14651,271
38308,3999,271
38305,49247,270
38304,48595,270
38306,9327,270
38300,43014,269
38301,27690,269
38303,17313,269
38298,13802,269
38302,12384,269
38299,9337,269
38295,34134,268
38297,31371,268
38294,23233,268
38296,19389,268
38293,17191,268
38292,47866,267
38290,34429,267
38291,22504,267
38289,33894,266
38287,19478,266
38288,16617,266
38285,43394,265
38283,34137,265
38286,13424,265
38284,9623,265
38281,48299,264
38282,3481,264
38280,47029,263
38276,20520,263
38279,4945,263
38278,3873,263
38277,2716,263
38275,1025,263
38272,47526,262
38274,34668,262
38267,30949,262
38270,21497,262
38271,20632,262
38268,8490,262
